Analysis.Region,Object.Id,XMin,XMax,YMin,YMax,DAPI..DAPI..Positive.Classification,DAPI..DAPI..Positive.Nucleus.Classification,DAPI..DAPI..Nucleus.Intensity,DAPI..DAPI..Cell.Intensity,M1..Opal.480..Positive.Classification,M1..Opal.480..Positive.Nucleus.Classification,M1..Opal.480..Nucleus.Intensity,M1..Opal.480..Cell.Intensity,M2..Opal.520..Positive.Classification,M2..Opal.520..Positive.Cytoplasm.Classification,M2..Opal.520..Cytoplasm.Intensity,M2..Opal.520..Cell.Intensity,M3..Opal.570..Positive.Classification,M3..Opal.570..Positive.Nucleus.Classification,M3..Opal.570..Nucleus.Intensity,M3..Opal.570..Cell.Intensity,M4..Opal.620..Positive.Classification,M4..Opal.620..Positive.Cytoplasm.Classification,M4..Opal.620..Cytoplasm.Intensity,M4..Opal.620....Cytoplasm.Completeness,M4..Opal.620..Cell.Intensity,M5..Opal.650..Positive.Classification,M5..Opal.650..Positive.Cytoplasm.Classification,M5..Opal.650..Cytoplasm.Intensity,M5..Opal.650..Cell.Intensity,M6..Opal.690..Positive.Classification,M6..Opal.690..Positive.Cytoplasm.Classification,M6..Opal.690..Cytoplasm.Intensity,M6..Opal.690..Cell.Intensity,M7..Opal.780..Positive.Classification,M7..Opal.780..Positive.Cytoplasm.Classification,M7..Opal.780..Cytoplasm.Intensity,M7..Opal.780....Cytoplasm.Completeness,M7..Opal.780..Cell.Intensity,Cell.Area..µm..
Tumour,32215,27018,27029,29909,29921,1,1,45.262234,39.54648,0,0,0.004163,0.00621,0,0,1.402097,2.239738,0,0,1.04641,0.968955,0,0,2.41833,36.842106,2.62607,0,0,5.366592,8.245973,0,0,4.409067,7.163851,0,0,0.271299,0,0.386041,25.037415
Tumour,32220,27136,27145,29910,29925,1,1,29.33308,25.362232,0,0,0,0.001629,0,0,0.543262,0.672131,0,0,0.348574,0.330603,0,0,0.000709,0,0.00246,0,0,2.455587,2.416159,0,0,1.929027,1.855599,0,0,0.326481,0,0.334854,31.046394
Tumour,32223,27425,27436,29911,29923,1,1,33.52312,30.083614,0,0,0.005552,0.015131,0,0,0.709187,0.712466,0,0,0.256358,0.257906,0,0,0,0,0.004984,0,0,3.843353,3.199475,0,0,3.5489,2.810427,0,0,0.285055,0,0.264841,36.05388
Tumour,32225,27046,27066,29913,29929,1,1,11.690064,10.678381,0,0,0.003507,0.002867,0,0,0.532215,0.4932,0,0,0.263786,0.249387,0,0,0.000851,0,0.001807,0,0,2.62921,2.511575,0,0,2.291288,2.157878,0,0,0.346464,0,0.322378,68.602516
Tumour,32233,27370,27385,29918,29928,1,1,37.90839,35.047733,1,1,0.546814,0.471087,0,0,0.748781,0.69151,0,0,0.318326,0.335398,0,0,0.58823,8.695652,0.160196,0,0,4.355173,4.212711,0,0,5.041052,4.814282,0,0,0.302056,0,0.263135,37.305748
Tumour,32246,27319,27347,29922,29942,1,1,49.789036,46.213154,1,1,0.442382,0.385419,0,0,0.595711,0.634041,0,0,0.426215,0.406902,0,0,0,0,0.000106,0,0,5.31968,4.718508,0,0,5.201734,4.939345,0,0,0.325154,0,0.266458,102.15266
Tumour,32260,27207,27214,29930,29940,1,1,24.635895,23.350508,0,0,0.022327,0.01935,0,0,0.669658,0.569678,0,0,0.871856,0.818978,0,0,0,0,0.000529,0,0,4.384151,3.421898,0,0,3.65453,3.135658,0,0,0.358915,0,0.333036,15.022449
Tumour,32270,27010,27022,29934,29941,1,1,22.409906,20.315767,0,0,0.008572,0.008469,0,0,0.484953,0.548817,0,0,0.621565,0.585362,0,0,0.234022,0,0.142081,0,0,2.779589,3.008783,0,0,1.987304,2.722088,0,0,0.212379,0,0.215812,21.281803
Tumour,32280,27159,27169,29936,29943,1,1,45.671387,41.276714,1,1,0.067642,0.054925,0,0,0.627187,0.638717,0,0,0.457541,0.420963,0,0,0,0,0,0,0,4.166798,4.64371,0,0,4.48449,4.938451,0,0,0.310492,0,0.303448,12.518707
Tumour,32281,27150,27165,29939,29959,1,1,24.522137,22.740673,1,1,0.329541,0.278015,0,0,0.553227,0.555546,0,0,0.319921,0.310581,0,0,0.00055,0,9.6e-05,0,0,4.149286,4.494293,0,0,4.410015,4.624395,0,0,0.292811,0,0.273695,51.577076
Tumour,32299,27593,27605,29948,29954,1,1,23.404331,20.662998,1,1,0.237585,0.182599,0,0,1.944802,1.612875,0,0,0.604503,0.607458,0,0,0.485875,0,0.241602,0,0,5.310118,5.794435,0,0,4.714769,5.895567,0,0,0.258429,0,0.281163,17.776566
Tumour,32302,27192,27202,29951,29960,1,1,19.013453,16.759396,0,0,0.021046,0.018892,0,0,0.54187,0.563502,0,0,0.241383,0.223996,0,0,0,0,0,0,0,4.511211,4.916084,0,0,4.247042,4.699687,0,0,0.338463,0,0.335234,22.533674
Tumour,32327,27706,27718,29962,29977,1,1,30.087831,26.375198,0,0,0.010193,0.008512,0,0,1.066336,1.197897,0,0,0.809275,0.79163,0,0,1.319337,15.625,1.540048,0,0,5.019579,5.02074,0,0,4.641549,4.755829,0,0,0.310325,15.625,0.324533,40.810986
Tumour,32366,27585,27596,29984,29998,1,1,34.290253,29.637985,1,1,0.098727,0.094721,0,0,1.040165,1.113786,0,0,1.923075,1.80728,1,1,9.647535,100,12.218586,1,1,8.538321,10.982377,1,1,7.498674,9.981888,0,0,0.219249,0,0.253379,33.550137
Tumour,32382,27498,27510,29989,30005,1,1,38.5808,36.118088,1,1,0.248,0.221098,0,0,1.846684,1.472449,0,0,0.392698,0.406953,0,0,0,0,0,1,1,7.070159,6.883728,1,1,7.717861,7.280593,0,0,0.312563,0,0.278934,47.07034
